Year,HS2,YoY_Growth_%,Total_Export_Value_M,Export_Share_%
2019,56,,408.85,0.15
2020,56,4.38,426.75,0.15
2021,56,13.33,483.62,0.14
2022,56,2.32,494.86,0.13
2023,56,-8.58,452.4,0.13
2019,57,,172.42,0.07
2020,57,64.75,284.06,0.1
2021,57,45.9,414.44,0.12
2022,57,-0.1,414.02,0.11
2023,57,-5.75,390.2,0.11
2019,58,,120.69,0.05
2020,58,-1.37,119.03,0.04
2021,58,34.2,159.74,0.05
2022,58,18.6,189.45,0.05
2023,58,-13.22,164.41,0.05
2019,59,,712.43,0.27
2020,59,-17.97,584.39,0.21
2021,59,61.59,944.3,0.28
2022,59,11.14,1049.54,0.28
2023,59,-22.31,815.4,0.23
2019,60,,1167.53,0.44
2020,60,-2.85,1134.21,0.4
2021,60,28.01,1451.87,0.43
2022,60,1.02,1466.65,0.4
2023,60,-14.61,1252.39,0.35
2019,61,,14884.92,5.63
2020,61,-7.96,13700.83,4.87
2021,61,14.84,15734.49,4.69
2022,61,10.08,17320.34,4.67
2023,61,-14.76,14763.15,4.18
2019,62,,15153.1,5.73
2020,62,-12.03,13329.81,4.74
2021,62,2.48,13659.99,4.07
2022,62,22.21,16693.64,4.5
2023,62,-8.26,15315.31,4.34
2019,63,,1815.81,0.69
2020,63,75.59,3188.38,1.13
2021,63,-36.06,2038.52,0.61
2022,63,2.37,2086.88,0.56
2023,63,-8.79,1903.41,0.54
2019,64,,18989.63,7.18
2020,64,-9.14,17253.94,6.13
2021,64,5.69,18235.77,5.43
2022,64,34.64,24553.25,6.62
2023,64,-15.41,20768.52,5.88
2019,65,,449.44,0.17
2020,65,0.77,452.89,0.16
2021,65,18.47,536.53,0.16
2022,65,43.68,770.86,0.21
2023,65,-8.27,707.13,0.2
2019,66,,25.14,0.01
2020,66,-25.86,18.64,0.01
2021,66,1.94,19.0,0.01
2022,66,5.27,20.0,0.01
2023,66,-26.92,14.62,0.0
2019,67,,66.63,0.03
2020,67,-11.66,58.86,0.02
2021,67,28.23,75.48,0.02
2022,67,8.64,82.0,0.02
2023,67,9.36,89.67,0.03
2019,68,,545.67,0.21
2020,68,13.73,620.58,0.22
2021,68,31.11,813.66,0.24
2022,68,-7.31,754.17,0.2
2023,68,-9.17,685.01,0.19
2019,69,,527.75,0.2
2020,69,7.06,565.03,0.2
2021,69,17.34,663.01,0.2
2022,69,6.15,703.8,0.19
2023,69,-13.15,611.24,0.17
2019,70,,848.51,0.32
2020,70,3.88,881.41,0.31
2021,70,32.26,1165.74,0.35
2022,70,-21.54,914.65,0.25
2023,70,-8.2,839.65,0.24
2019,71,,2204.73,0.83
2020,71,24.95,2754.8,0.98
2021,71,-66.42,925.13,0.28
2022,71,28.37,1187.58,0.32
2023,71,-10.89,1058.22,0.3
2019,72,,4296.52,1.62
2020,72,24.29,5339.98,1.9
2021,72,123.51,11935.41,3.55
2022,72,-31.36,8192.87,2.21
2023,72,3.9,8512.0,2.41
2019,73,,3318.39,1.25
2020,73,-7.41,3072.63,1.09
2021,73,28.65,3952.84,1.18
2022,73,17.33,4637.93,1.25
2023,73,-14.72,3955.26,1.12
2019,74,,1216.16,0.46
2020,74,1.07,1229.14,0.44
2021,74,37.33,1687.97,0.5
2022,74,18.0,1991.83,0.54
2023,74,-7.41,1844.29,0.52
2019,75,,32.23,0.01
2020,75,-41.18,18.95,0.01
2021,75,78.98,33.92,0.01
2022,75,26.41,42.88,0.01
2023,75,-63.77,15.54,0.0
2019,76,,1270.78,0.48
2020,76,11.68,1419.2,0.5
2021,76,43.69,2039.21,0.61
2022,76,23.09,2510.0,0.68
2023,76,-14.49,2146.23,0.61
2019,78,,80.64,0.03
2020,78,-17.29,66.69,0.02
2021,78,-34.93,43.39,0.01
2022,78,-1.3,42.83,0.01
2023,78,7.26,45.94,0.01
2019,79,,17.7,0.01
2020,79,-15.15,15.02,0.01
2021,79,62.39,24.38,0.01
2022,79,-3.0,23.65,0.01
2023,79,-1.14,23.38,0.01
2019,80,,12.94,0.0
2020,80,-34.45,8.48,0.0
2021,80,81.17,15.37,0.0
2022,80,-28.84,10.94,0.0
2023,80,2.88,11.25,0.0
2019,81,,30.49,0.01
2020,81,67.56,51.08,0.02
2021,81,33.89,68.4,0.02
2022,81,3.34,70.68,0.02
2023,81,1.4,71.67,0.02
2019,82,,682.23,0.26
2020,82,3.22,704.22,0.25
2021,82,33.78,942.1,0.28
2022,82,10.25,1038.71,0.28
2023,82,-17.5,856.88,0.24
2019,83,,456.59,0.17
2020,83,33.24,608.35,0.22
2021,83,45.77,886.77,0.26
2022,83,14.84,1018.36,0.27
2023,83,-9.36,923.05,0.26
2019,84,,13092.69,4.95
2020,84,40.66,18416.12,6.54
2021,84,30.88,24102.14,7.18
2022,84,22.42,29505.37,7.95
2023,84,9.24,32232.8,9.13
2019,85,,97158.13,36.72
2020,85,14.34,111092.75,39.47
2021,85,18.27,131385.18,39.13
2022,85,6.82,140341.81,37.84
2023,85,-5.43,132718.32,37.59
2019,86,,3.95,0.0
2020,86,12.27,4.44,0.0
2021,86,105.83,9.13,0.0
2022,86,114.05,19.55,0.01
2023,86,-30.07,13.67,0.0
2019,87,,2943.66,1.11
2020,87,7.26,3157.26,1.12
2021,87,27.57,4027.59,1.2
2022,87,23.51,4974.46,1.34
2023,87,-2.14,4867.99,1.38
2019,88,,642.15,0.24
2020,88,-29.99,449.56,0.16
2021,88,40.74,632.72,0.19
2022,88,-15.34,535.64,0.14
2023,88,38.23,740.44,0.21
2019,89,,574.16,0.22
2020,89,66.02,953.24,0.34
2021,89,-34.06,628.57,0.19
2022,89,19.15,748.93,0.2
2023,89,51.49,1134.57,0.32
2019,90,,5275.85,1.99
2020,90,-32.57,3557.46,1.26
2021,90,11.04,3950.13,1.18
2022,90,3.44,4085.91,1.1
2023,90,5.88,4326.2,1.23
2019,91,,51.61,0.02
2020,91,-23.08,39.7,0.01
2021,91,10.73,43.96,0.01
2022,91,-5.38,41.59,0.01
2023,91,500.0,289.96,0.08
2019,92,,27.07,0.01
2020,92,7.36,29.06,0.01
2021,92,-4.34,27.8,0.01
2022,92,-3.93,26.71,0.01
2023,92,-7.07,24.82,0.01
2020,93,,0.01,0.0
2021,93,-62.16,0.01,0.0
2022,93,-53.74,0.0,0.0
2023,93,500.0,0.28,0.0
2019,94,,9487.58,3.59
2020,94,26.29,11982.03,4.26
2021,94,15.45,13833.4,4.12
2022,94,0.49,13901.44,3.75
2023,94,-13.12,12076.88,3.42
2019,95,,1943.27,0.73
2020,95,48.53,2886.42,1.03
2021,95,0.95,2913.85,0.87
2022,95,44.22,4202.29,1.13
2023,95,-13.23,3646.31,1.03
2019,96,,527.81,0.2
2020,96,-2.25,515.94,0.18
2021,96,4.5,539.14,0.16
2022,96,22.02,657.86,0.18
2023,96,-8.44,602.33,0.17
2019,97,,4.02,0.0
2020,97,7.46,4.32,0.0
2021,97,-70.47,1.28,0.0
2022,97,-4.23,1.22,0.0
2023,97,7.4,1.31,0.0
2019,99,,4472.09,1.69
2020,99,-35.41,2888.64,1.03
2021,99,70.18,4915.84,1.46
2022,99,16.17,5710.53,1.54
2023,99,4.79,5983.82,1.69
